Time,TemperatureF,DewpointF,PressureIn,WindDirection,WindDirectionDegrees,WindSpeedMPH,WindSpeedGustMPH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SoftwareType,DateUTC
2013-03-14 10:50:00,72.8,63.2,30.25,NNE,27,17.0,19.0,72,0.00,,,0.00,Wunderground v.1.15,2013-03-14 16:50:00
2013-03-14 11:00:00,72.7,61.5,30.26,NNE,30,17.0,19.0,68,0.00,,,0.00,Wunderground v.1.15,2013-03-14 17:00:00
2013-03-14 11:05:00,73.3,62.1,30.26,NNE,32,17.0,19.0,68,0.00,,,0.00,Wunderground v.1.15,2013-03-14 17:05:00
2013-03-14 11:15:00,73.7,62.9,30.25,NE,34,17.0,17.0,69,0.00,,,0.00,Wunderground v.1.15,2013-03-14 17:15:00
2013-03-14 11:20:00,73.8,63.4,30.25,NNE,25,17.0,18.0,70,0.00,,,0.00,Wunderground v.1.15,2013-03-14 17:20:00
2013-03-14 11:30:00,73.8,62.6,30.24,NE,37,17.0,17.0,68,0.00,,,0.00,Wunderground v.1.15,2013-03-14 17:30:00
2013-03-14 11:35:00,73.3,62.1,30.24,NNE,27,17.0,17.0,68,0.00,,,0.00,Wunderground v.1.15,2013-03-14 17:35:00
2013-03-14 11:40:00,73.5,63.1,30.24,NE,41,17.0,17.0,70,0.00,,,0.00,Wunderground v.1.15,2013-03-14 17:40:00
2013-03-14 11:50:00,73.6,64.4,30.23,NNE,26,18.0,18.0,73,0.00,,,0.00,Wunderground v.1.15,2013-03-14 17:50:00
2013-03-14 12:00:00,72.8,63.6,30.23,NNE,23,18.0,18.0,73,0.00,,,0.00,Wunderground v.1.15,2013-03-14 18:00:00
2013-03-14 12:05:00,72.6,63.4,30.23,NE,39,19.0,19.0,73,0.00,,,0.00,Wunderground v.1.15,2013-03-14 18:05:00
2013-03-14 12:15:00,73.5,63.9,30.22,NE,43,18.0,20.0,72,0.00,,,0.00,Wunderground v.1.15,2013-03-14 18:15:00
2013-03-14 12:20:00,73.0,63.0,30.22,NNE,27,19.0,23.0,71,0.00,,,0.00,Wunderground v.1.15,2013-03-14 18:20:00
2013-03-14 12:25:00,72.8,64.0,30.22,NNE,30,19.0,23.0,74,0.00,,,0.00,Wunderground v.1.15,2013-03-14 18:25:00
2013-03-14 12:35:00,72.8,64.0,30.22,NNE,31,19.0,21.0,74,0.00,,,0.00,Wunderground v.1.15,2013-03-14 18:35:00
2013-03-14 12:40:00,73.1,63.5,30.21,NNE,33,19.0,21.0,72,0.00,,,0.00,Wunderground v.1.15,2013-03-14 18:40:00
2013-03-14 12:45:00,73.4,63.4,30.21,NE,37,19.0,21.0,71,0.00,,,0.00,Wunderground v.1.15,2013-03-14 18:45:00
2013-03-14 12:55:00,72.9,63.7,30.21,NE,38,19.0,21.0,73,0.00,,,0.00,Wunderground v.1.15,2013-03-14 18:55:00
2013-03-14 13:05:00,72.7,63.1,30.21,NE,46,19.0,20.0,72,0.00,,,0.00,Wunderground v.1.15,2013-03-14 19:05:00
2013-03-14 13:15:00,72.4,63.6,30.21,NE,40,20.0,23.0,74,0.00,,,0.00,Wunderground v.1.15,2013-03-14 19:15:00
2013-03-14 13:25:00,73.3,63.3,30.20,NE,41,19.0,20.0,71,0.00,,,0.00,Wunderground v.1.15,2013-03-14 19:25:00
2013-03-14 13:35:00,73.4,63.8,30.20,NNE,22,19.0,19.0,72,0.00,,,0.00,Wunderground v.1.15,2013-03-14 19:35:00
2013-03-14 13:45:00,73.2,63.2,30.20,NNE,22,20.0,22.0,71,0.00,,,0.00,Wunderground v.1.15,2013-03-14 19:45:00
2013-03-14 13:50:00,72.6,62.3,30.20,NE,42,21.0,21.0,70,0.00,,,0.00,Wunderground v.1.15,2013-03-14 19:50:00
2013-03-14 13:55:00,72.7,62.8,30.19,NNE,29,21.0,23.0,71,0.00,,,0.00,Wunderground v.1.15,2013-03-14 19:55:00
2013-03-14 14:00:00,72.9,62.9,30.19,NNE,24,20.0,25.0,71,0.00,,,0.00,Wunderground v.1.15,2013-03-14 20:00:00
2013-03-14 14:10:00,72.8,63.2,30.19,NNE,20,21.0,21.0,72,0.00,,,0.00,Wunderground v.1.15,2013-03-14 20:10:00
2013-03-14 14:20:00,73.1,62.7,30.19,NNE,30,20.0,20.0,70,0.00,,,0.00,Wunderground v.1.15,2013-03-14 20:20:00
2013-03-14 14:30:00,73.1,63.9,30.19,NNE,28,20.0,22.0,73,0.00,,,0.00,Wunderground v.1.15,2013-03-14 20:30:00
2013-03-14 14:35:00,72.7,63.1,30.18,NNE,21,20.0,23.0,72,0.00,,,0.00,Wunderground v.1.15,2013-03-14 20:35:00
2013-03-14 14:45:00,72.8,63.2,30.18,NNE,28,21.0,22.0,72,0.00,,,0.00,Wunderground v.1.15,2013-03-14 20:45:00
2013-03-14 14:55:00,72.7,63.1,30.18,NNE,27,21.0,24.0,72,0.00,,,0.00,Wunderground v.1.15,2013-03-14 20:55:00
2013-03-14 15:05:00,72.6,62.7,30.18,NNE,28,21.0,21.0,71,0.00,,,0.00,Wunderground v.1.15,2013-03-14 21:05:00
2013-03-14 15:15:00,72.4,62.5,30.18,NNE,33,20.0,23.0,71,0.00,,,0.00,Wunderground v.1.15,2013-03-14 21:15:00
2013-03-14 15:25:00,72.1,62.6,30.17,NNE,28,20.0,21.0,72,0.00,,,0.00,Wunderground v.1.15,2013-03-14 21:25:00
2013-03-14 15:35:00,72.2,63.1,30.17,NNE,30,20.0,21.0,73,0.00,,,0.00,Wunderground v.1.15,2013-03-14 21:35:00
2013-03-14 15:45:00,72.3,62.8,30.18,NE,41,19.0,22.0,72,0.00,,,0.00,Wunderground v.1.15,2013-03-14 21:45:00
2013-03-14 15:55:00,72.2,62.3,30.17,NNE,25,19.0,20.0,71,0.00,,,0.00,Wunderground v.1.15,2013-03-14 21:55:00
