Date,Total15,Total20,Total25,pseudoWindSpeedMPH
2014-07-22,60,0,0,15
2014-07-23,37,0,0,15
2014-07-24,78,0,0,15
2014-07-25,56,0,0,15
2014-07-26,46,0,0,15
2014-07-27,30,0,0,15
2014-07-28,32,0,0,15
2014-07-29,41,0,0,15
2014-07-30,0,0,0,0
2014-07-31,36,0,0,15
2014-08-01,0,0,0,0
2014-08-02,0,0,0,0
2014-08-03,0,0,0,0
2014-08-04,0,0,0,0
2014-08-05,40,0,0,15
2014-08-06,57,0,0,15
2014-08-07,39,0,0,15
2014-08-08,85,0,0,15
2014-08-09,27,0,0,15
2014-08-10,70,0,0,15
2014-08-11,0,0,0,0
2014-08-12,0,0,0,0
2014-08-13,0,0,0,0
2014-08-14,0,0,0,0
2014-08-15,0,0,0,0
2014-08-16,35,0,0,15
2014-08-17,0,0,0,0
2014-08-18,0,0,0,0
2014-08-19,0,0,0,0
2014-08-20,31,0,0,15
2014-08-21,57,0,0,15
2014-08-22,46,0,0,15
2014-08-23,0,0,0,0
2014-08-24,0,0,0,0
2014-08-25,0,0,0,0
2014-08-26,0,0,0,0
2014-08-27,0,0,0,0
2014-08-28,0,0,0,0
2014-08-30,46,0,0,15
2014-08-31,0,0,0,0
2014-09-01,0,0,0,0
2014-09-02,25,0,0,15
2014-09-03,54,0,0,15
2014-09-04,0,0,0,0
2014-09-05,67,0,0,15
2014-09-06,32,0,0,15
2014-09-07,0,0,0,0
2014-09-08,0,0,0,0
2014-09-09,0,0,0,0
2014-09-10,34,0,0,15
2014-09-11,0,0,0,0
2014-09-12,0,0,0,0
2014-09-13,31,0,0,15
2014-09-14,0,0,0,0
2014-09-15,0,0,0,0
2014-09-16,0,0,0,0
2014-09-17,0,0,0,0
2014-09-18,0,0,0,0
2014-09-19,0,0,0,0
2014-09-20,0,0,0,0
2014-09-21,0,0,0,0
2014-09-22,0,0,0,0
2014-09-23,0,0,0,0
2014-09-24,0,0,0,0
2014-09-25,0,0,0,0
2014-09-26,0,0,0,0
2014-09-27,0,0,0,0
2014-09-28,0,0,0,0
2014-09-29,0,0,0,0
2014-09-30,0,0,0,0
2014-10-01,0,0,0,0
2014-10-02,0,0,0,0
2014-10-03,0,0,0,0
2014-10-04,0,0,0,0
2014-10-05,0,0,0,0
2014-10-06,0,0,0,0
2014-10-07,0,0,0,0
2014-10-08,29,0,0,15
2014-10-09,39,0,0,15
2014-10-10,57,0,0,15
2014-10-11,0,0,0,0
2014-10-12,0,0,0,0
2014-10-13,0,0,0,0
2014-10-14,0,0,0,0
2014-10-15,53,0,0,15
2014-10-16,0,0,0,0
2014-10-17,0,0,0,0
2014-10-18,49,0,0,15
2014-10-19,48,0,0,15
2014-10-20,0,0,0,0
2014-10-21,0,0,0,0
2014-10-22,0,0,0,0
